method,is_environmental,unit,description
childEmployment,False,Risk.hour,Percentage of children (below legal working age) employed in the product’s supply chain.  Risk.hour (%)
forceLabourFrequency,False,Risk.hour,"Measures how frequently forced or bonded labor is detected or suspected across the supply chain. Usually derived from audits or country-specific risk databases. Risk.hour (Cases per 1,000 inhabitants in the country in reference year)"
minimumWage,False,International Dollar,Indicates whether workers receive at least the legally defined minimum wage in the countries of production
nonFatalAccidentsRate,False,/hour,"Rate of non-lethal workplace accidents (e.g., injuries requiring medical attention) per number of employees or working hours. A key occupational health and safety indicator."
fatalAccidentsRate,False,/hour,Rate of workplace fatalities per employee count or working hours.
rightOfAssociation,False,-,Indicates whether employees are free to join trade unions or other worker associations. (Score on an ordinal 0–3 scale: Good / Average / Poor)
genderWageGap,False,%,"Measures the difference in average wages between male and female workers in the supply chain, expressed as a percentage (% difference, reference year)"
economicDevContribution,False,International Dollar,"Captures the economic value generated by the product’s supply chain in local communities. May include employment, taxes paid, infrastructure investments, etc."
valueAdded,False,International Dollar,Potential economic indicators still to be identified
employment,False,-,Potential economic indicators still to be identified
